date,AAPL,BAC,BRK.B,HON,JNJ,JPM,MRK,MSFT,NVDA,RTX,UNH,UPS,XOM
12/30/2022,129.7324,32.9039,308.9,213.1741,175.4141,133.1165,110.95,239.216,146.14,100.366,530.18,172.3163,109.4545
11/30/2022,147.6183,37.378,318.6,218.3965,176.7547,137.1666,109.404,254.4974,169.23,98.1781,546.0795,188.0671,110.4865
10/31/2022,152.6598,35.5906,295.09,201.9511,171.6506,124.9568,100.542,230.8959,134.9381,93.754,553.4468,164.8455,109.085
9/30/2022,137.5869,29.8234,267.02,165.2768,161.1821,102.8023,85.5601,231.6618,121.3613,80.9397,503.4905,158.7241,85.9508
8/31/2022,156.5225,32.9741,280.8,187.4299,159.189,111.8824,84.1373,260.0799,150.8603,88.741,516.1126,191.1193,94.1019
7/29/2022,161.5643,33.1703,300.6,189.5724,171.04,113.4859,88.0603,278.6544,181.5341,91.63,538.98,190.0826,94.5284
6/30/2022,135.9244,30.5411,273.02,171.2023,173.9704,109.8056,89.8641,254.922,151.51,94.4808,510.4479,178.0372,83.5181
5/31/2022,147.9739,36.2886,315.98,190.715,175.9501,128.9369,89.9771,269.8503,186.5814,93.5076,491.9227,177.7544,93.6214
4/29/2022,156.5038,34.8058,322.83,189.6433,175.7548,116.3875,86.7116,274.7878,185.3323,92.736,503.5776,174.0544,82.2986
3/31/2022,173.3404,40.2101,352.91,190.692,172.609,131.9356,80.2197,305.2746,272.6575,96.8007,504.9837,207.3992,79.7307
2/28/2022,163.9194,42.905,321.45,185.9585,160.2791,137.2394,74.2134,295.8484,243.6288,100.3476,469.8063,203.4922,75.705
1/31/2022,173.2881,44.7882,313.02,199.3229,166.716,143.8207,78.9619,307.2822,244.6379,87.6498,466.5484,194.143,72.5224
12/31/2021,176.0542,43.1865,299,203.2512,165.5355,152.327,74.2715,332.3209,293.8432,83.6362,495.7416,205.789,58.4208
11/30/2021,163.889,42.9661,276.69,197.1394,150.8853,152.7888,71.9218,326.6591,326.422,78.6409,437.1489,190.4562,57.1319
10/29/2021,148.3056,46.1642,287.01,212.1837,156.5712,163.4281,84.5376,327.0788,255.4056,85.8535,453.1402,203.9558,60.7199
9/30/2021,140.0884,41.0144,272.94,206.0304,155.2447,156.5358,72.1138,278.0594,206.9457,83.0516,384.5202,173.984,55.3986
8/31/2021,150.3154,40.1326,285.77,225.0825,166.4242,152.9592,72.5924,297.7461,223.6185,81.8922,408.1785,186.9109,51.3487
7/30/2021,144.1879,36.874,278.29,226.001,164.5482,145.1463,73.1443,280.4682,194.7535,83.4972,404.2072,181.8713,53.411
6/30/2021,135.3899,39.6328,277.92,212.042,157.4197,147.8889,74.0007,266.6766,199.7824,81.9223,392.6562,197.6576,58.523
5/28/2021,123.1815,40.579,289.44,223.2169,161.7293,156.161,68.3158,245.7875,162.2106,85.1873,402.4145,203.9589,54.1532
4/30/2021,129.7337,38.7984,274.95,214.7164,154.5385,146.244,67.0646,247.678,149.8784,79.4591,389.5972,192.8231,52.3464
3/31/2021,120.546,37.037,255.47,208.9692,156.077,143.8987,69.3961,231.561,133.2899,73.7602,363.4841,160.7868,51.0569
2/26/2021,119.6677,33.064,240.51,194.7985,150.4835,139.1156,64.8075,228.2315,136.9034,68.7201,323.4181,149.2852,49.7217
1/29/2021,130.0323,28.244,227.87,187.2287,153.9578,121.6281,68.7788,227.2977,129.6686,63.289,324.7421,145.6828,40.3138
12/31/2020,130.7516,28.8727,231.87,203.8366,148.5311,119.2614,72.9999,217.9495,130.32,67.8225,341.389,158.2773,37.0592
